taglen,crossmapped,No_CDS,star,rRNA,Unknown,p5_UTR,SINE,Intron,snRNA,Coding_Exon,LTR,precursor,mature,p3_UTR,snoRNA,srpRNA,rmsk_Other,rmsk_Simple_repeat,LINE,rmsk_Unknown,tRNA,rmsk_RNA,rmsk_Low_complexity,scRNA,unannotated,rmsk_DNA,stemloop,Satellite
12,0,0,0,0,6.74770608754625e-05,0,0,1.9846194375136e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0.002333912458516,3.57231498752448e-05,0,0.000595385831254081,0,2.77846721251904e-05,0,0,0,7.93847775005441e-06,0,0,0,0,0,0,0,0,0,0,1.58769555001088e-05,0,0,0
14,0,0,0,0,0.0136899048799688,9.92309718756801e-05,0,0.00163929565538624,0,0.000202431182626387,0,0,3.9692388750272e-06,4.36616276252992e-05,0,0,0,0,0,0,0,0,0,0,1.19077166250816e-05,0,0,0
15,0,0,0,0,0.00964525046631611,0.000127015644000871,0,0.00120664861800827,0,0.000523939531503591,0,0,6.74770608754625e-05,0.000123046405125843,0,0,0,0,0,0,0,0,0,0,7.93847775005441e-06,0,0,0
16,0,0,0,0,0.0117092546813303,0.000250062049126714,0,0.00254825135776747,0,0.00111138688500762,0,0,0.000333416065502285,0.000281815960126932,0,0,0,0,0,0,0,0,0,0,2.77846721251904e-05,0,0,0
17,0,0,0,0,0.0146385529711003,0.000234185093626605,0,0.00320317577214695,0,0.00134557197863422,0,0,0.00185760379351273,0.000420739320752884,0,0,0,0,0,0,0,0,0,0,0.000123046405125843,0,1.19077166250816e-05,0
18,3.9692388750272e-06,0,0,0,0.0122133480184587,0.000305631393377095,0,0.00421930092415392,0,0.00150037229476028,0,0,0.0057196732189142,0.000392954648627693,0,0,0,0,0,0,0,0,0,0,0.00029769291562704,0,1.58769555001088e-05,0
19,3.57231498752448e-05,0,0,0,0.0135827354303431,0.000265939004626823,0,0.00398511583052731,0,0.00155594163901066,0,0,0.0187705306400036,0.000512031814878509,0,0,0,0,0,0,0,0,0,0,0.00125031024563357,0,0,0
20,0.000150831077251034,0,0,0,0.0126698104890868,0.000246092810251687,0,0.0037787154090259,0,0.00142495675613477,0,3.9692388750272e-06,0.0987348170163017,0.000452493231753101,0,0,0,0,0,0,0,0,0,0,0.00744232289067601,0,0,0
21,0.000734309191880033,0,0,0,0.0201994566350134,0.000258000526876768,0,0.0153887391184805,0,0.00165914184976137,0,0,0.613695930184581,0.000508062576003482,0,0,0,0,0,0,0,0,0,0,0.0270741783665606,0,1.58769555001088e-05,0
22,3.57231498752448e-05,0,0,0,0.0320000038104693,0.000313569871127149,0,0.0430344878830449,0,0.00181791140476246,0,7.93847775005441e-06,0.995358094212822,0.00073827843075506,0,0,0,0,0,0,0,0,0,0,0.0535966325294923,0,0,0
23,6.35078220004353e-05,0,0,0,0.015904740172234,0.00029769291562704,0,0.00816869360480599,0,0.00186554227126279,0,0,0.284701596789076,0.000670801369879597,0,0,0,0,0,0,0,0,0,0,0.0256492216104258,0,7.93847775005441e-06,0
24,3.9692388750272e-06,0,0,0,0.00957777340544064,0.000301662154502068,0,0.00357628422639951,0,0.00199255791526366,0,0,0.0499409635255923,0.000650955175504461,0,0,0,0,0,0,0,0,0,0,0.00433043961265468,0,0,0
25,0,0,0,0,0.00982783545456736,0.000218308138126496,0,0.00390176181415174,0,0.00199652715413868,0,0,0.00284197503451948,0.000654924414379489,0,0,0,0,0,0,0,0,0,0,8.73232552505985e-05,0,3.9692388750272e-06,0
26,0,0,0,0,0.0117171931590803,0.000305631393377095,0,0.00471148654465729,0,0.00195286552651338,0,0,0.00242123571376659,0.00083750940263074,0,0,0,0,0,0,0,0,0,0,0.000158769555001088,0,0,0
27,0,0,0,0,0.0255976215050504,0.000265939004626823,0,0.00720019931929935,0,0.00220689681451513,0,0,0.000134954121750925,0.000774001580630305,0,0,0,0,0,0,0,0,0,0,5.16001053753537e-05,0,0,0
28,0,0,0,0,0.0582247650577741,0.000254031288001741,0,0.00964525046631611,0,0.00244505114701676,0,0,5.16001053753537e-05,0.0011232946016327,0,0,0,0,0,0,0,0,0,0,2.38154332501632e-05,0,0,0
29,0,0,0,0,0.0674572146810873,0.000361200737627476,0,0.0095857118831907,0,0.00275068254039385,0,0,5.16001053753537e-05,0.00129000263438384,0,0,0,0,0,0,0,0,0,0,7.93847775005441e-06,0,0,0
30,0,0,0,0,0.0217157058852738,0.000361200737627476,0,0.00765666178992748,0,0.00273083634601872,0,0,3.17539110002176e-05,0.000996278957631828,0,0,0,0,0,0,0,0,0,0,1.58769555001088e-05,0,3.9692388750272e-06,0
31,0,0,0,0,0.0274552252985632,0.000381046932002612,0,0.00982386621569233,0,0.00299677535064554,0,0,0.000218308138126496,0.00202034258738885,0,0,0,0,0,0,0,0,0,0,1.19077166250816e-05,0,0,0
32,0,0,0,0,0.116913931063926,0.00107169449625735,0,0.011379807854703,0,0.00292929828977008,0,3.9692388750272e-06,9.52617330006529e-05,0.00194492704876333,0,0,0,0,0,0,0,0,0,0,7.93847775005441e-06,0,0,0
33,0,0,0,0,0.468326525625585,0.00110344840725756,0,0.0143726139664735,0,0.00387794638090158,0,0,1.58769555001088e-05,0.00448523992878074,0,0,0,0,0,0,0,0,0,0,2.38154332501632e-05,0,3.9692388750272e-06,0
34,0,0,0,0,0.0958968112206573,0.00186554227126279,0,0.0218863831569,0,0.00420739320752884,0,0,1.58769555001088e-05,0.0112448537329521,0,0,0,0,0,0,0,0,0,0,0,0,3.9692388750272e-06,0
35,0,0,0,0,0.0463448331048176,0.000885140269131067,0,0.0153371390131051,0,0.00390176181415174,0,0,2.38154332501632e-05,0.010506575302197,0,0,0,0,0,0,0,0,0,0,3.9692388750272e-06,0,3.9692388750272e-06,0
36,0,0,0,0,0.0697315885564779,0.000563631920253863,0,0.0118640549974563,0,0.0055013650807877,0,0,6.74770608754625e-05,0.00581890419078988,0,0,0,0,0,0,0,0,0,0,1.9846194375136e-05,0,0,0
37,0,0,0,0,0.0378784465843846,0.000547754964753754,0,0.0134358735919671,0,0.0063904745887938,0,0,2.38154332501632e-05,0.00113917155713281,0,0,0,0,0,0,0,0,0,0,3.9692388750272e-06,0,1.19077166250816e-05,0
38,0,0,0,0,0.0376363230130079,0.000543785725878727,0,0.0186077918461275,0,0.00646589012741932,0,0,5.55693442503809e-05,0.00118680242363313,0,0,0,0,0,0,0,0,0,0,3.9692388750272e-06,0,0,0
39,0,0,0,0,0.0330200982013513,0.00046837018725321,0,0.0261453764698042,0,0.00721607627479946,0,0,8.73232552505985e-05,0.00190126542113803,0,0,0,0,0,0,0,0,0,0,0,0,3.9692388750272e-06,0
40,0,0,0,0,0.0309838786584624,0.000555693442503809,0,0.0311426482134634,0,0.00809327806618047,0,0,5.16001053753537e-05,0.00164723413313629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0.0312855408129644,0.000531878009253645,0,0.0319761883772192,0,0.00878789486931023,0,0,0.000115107927375789,0.00149243381701023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0.0406013444526533,0.00056760115912889,0,0.0246926350415442,0,0.00950632710569015,0,0,3.9692388750272e-06,0.00145671066713498,0,0,0,0,0,0,0,0,0,0,0,0,3.9692388750272e-06,0
43,0,0,0,0,0.0669134289552086,0.000746216908505114,0,0.0242361725709161,0,0.0109908224449503,0,0,3.9692388750272e-06,0.00157181859451077,0,0,0,0,0,0,0,0,0,0,0,0,3.9692388750272e-06,0
44,0,0,0,0,0.0768087414706514,0.00056760115912889,0,0.0148370149148517,0,0.0112964538383274,0,0,1.58769555001088e-05,0.00174646510501197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0.074990830065889,0.00083750940263074,0,0.0487898842518344,0,0.0145829836268499,0,0,0.000150831077251034,0.00193301933213825,0,0,0,0,0,0,0,0,0,0,7.93847775005441e-06,0,3.9692388750272e-06,0
46,0,0,0,0,0.454858898122617,0.001166956229258,0,0.103779719626461,0,0.0247680505801698,0,3.9692388750272e-06,4.36616276252992e-05,0.0031952372943969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,11.7597116459096,0.00340163771589831,0,4.25267825385402,0,0.0690369717533482,0,3.9692388750272e-05,6.35078220004353e-05,0.00941503461156453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,51.6195109842137,0.041879439370412,0,26.5657466513417,0,0.515429483355533,0,3.57231498752448e-05,0.000940709613381447,0.0943607157760217,0,0,0,0,0,0,0,0,0,0,0.000547754964753754,0,3.9692388750272e-06,0
