taglen,crossmapped,No_CDS,rmsk_DNA,tRNA,Intron,scRNA,unannotated,rmsk_Other,p5_UTR,rmsk_RNA,srpRNA,SINE,stemloop,rmsk_Simple_repeat,snoRNA,precursor,rmsk_Unknown,star,LINE,rRNA,Coding_Exon,LTR,rmsk_Low_complexity,Satellite,Unknown,snRNA,p3_UTR,mature
12,0,0,0,0,4.87889437618139e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75778875236279e-06,0,0,0
13,0,0,0,0,2.4394471880907e-05,0,0,0,4.87889437618139e-06,0,0,0,0,0,0,0,0,0,0,0,1.46366831285442e-05,0,0,0,0.000219550246928163,0,0,0
14,0,0,0,0,0.00017564019754253,0,0,0,9.75778875236279e-06,0,0,0,0,0,0,0,0,0,0,0,0.00014148793690926,0,0,0,0.00129290700968807,0,1.46366831285442e-05,0
15,0,0,0,0,0.000483010543241958,0,4.87889437618139e-06,0,7.80623100189023e-05,0,0,0,0,0,0,0,0,0,0,0,0.000687924107041576,0,0,0,0.00339083159144607,0,6.34256268903581e-05,4.87889437618139e-06
16,0,0,0,0,0.000887958776465014,0,0,0,0.000131730148156898,0,0,0,0,0,0,0,0,0,0,0,0.0016002773553875,0,0,0,0.00578636873015113,0,0.000219550246928163,0.000239065824432888
17,0,0,0,0,0.00117093465028353,0,4.87889437618139e-05,0,0.00014148793690926,0,0,0,0,0,0,0,0,0,0,0,0.00306394566824192,0,0,0,0.00601079787145548,0,0.000483010543241958,0.00111726681214554
18,0,0,0,0,0.00266387632939504,0,0.000409827127599237,0,0.000297612556947065,0,0,0,0,0,0,0,0,0,0,0,0.00458616071361051,0,0,0,0.00929429378662555,0,0.000746470839555753,0.00261508738563323
19,0,0,0,0,0.002097924581758,0,0.00154173062287332,0,0.00038543265571833,0,0,0,4.87889437618139e-06,0,0,4.87889437618139e-06,0,0,0,0,0.00618643806899801,0,0,0,0.00964557418171062,0,0.00106359897400754,0.00842097169328909
20,1.46366831285442e-05,0,0,0,0.00245896276559542,0,0.003146886872637,0,0.000375674866965967,0,0,0,0,0,0,4.87889437618139e-06,0,0,0,0,0.0086258852570887,0,0,0,0.0118264399678637,0,0.00153685172849714,0.0530091873972108
21,0.000287854768194702,0,0,0,0.0132169248650754,0,0.0582637566403582,0,0.00045373717698487,0,0,0,0,0,0,0,0,0,0,0,0.0101724947743382,0,0,0,0.0177689333180526,0,0.00207353010987709,0.673472821899327
22,0,0,0,0,0.059093168684309,0,0.018773985559546,0,0.000717197473298665,0,0,0,4.87889437618139e-06,0,0,4.87889437618139e-06,0,0,0,0,0.0133437761188561,0,0,0,0.0511649653230143,0,0.00313712908388464,7.38619722725602
23,4.87889437618139e-06,0,0,0,0.0115337063052928,0,0.00696706116918703,0,0.00056107285326086,0,0,0,1.95155775047256e-05,0,0,4.87889437618139e-06,0,0,0,0,0.0173932584510867,0,0,0,0.0226234332223531,0,0.00385920545155948,0.32524173579938
24,0,0,0,0,0.0079184455725424,0,0.00204425674362,0,0.000702560790170121,0,0,0,0,0,0,0,0,0,0,0,0.021545197565217,0,0,0,0.0231552327093569,0,0.00430806373416817,0.0314786265151224
25,0,0,0,0,0.00901619680718321,0,0.000380553761342149,0,0.000761107522684297,0,0,0,4.87889437618139e-06,0,0,0,0,0,0,0,0.0242237105777406,0,0,0,0.0297710134834589,0,0.00543508833506607,0.00300052004135156
26,0,0,0,0,0.00922598926535902,0,0.000585467325141767,0,0.001102630129017,0,0,0,0,0,0,9.75778875236279e-06,0,0,0,0,0.0273218085066158,0,0,0,0.0472618498220692,0,0.00758180186058589,0.000678166318289214
27,0,0,0,0,0.0242724995215024,0,7.80623100189023e-05,0,0.00142463715784497,0,0,0,4.87889437618139e-06,0,0,0,0,0,0,0,0.0316054777689031,0,0,0,0.670091748096634,0,0.00765498527622861,0.000117093465028353
28,0,0,0,0,0.0367819847020315,0,6.34256268903581e-05,0,0.00132218037594516,0,0,0,0,0,0,0,0,0,0,0,0.0368356525401695,0,0,0,0.289674595797018,0,0.0112312148539696,0.000156124620037805
29,0,0,0,0,0.0213354051070412,0,0.000429342705103963,0,0.00155148841162568,0,0,0,0,0,0,1.46366831285442e-05,0,0,0,0,0.0387189057693755,0,0,0,0.182836566747398,0,0.0558584617129008,8.29412043950837e-05
30,0,0,0,0,0.0230820492937142,0,5.36678381379953e-05,0,0.00189301101795838,0,0,0,0,0,0,9.75778875236279e-06,0,0,0,0,0.0419926438957933,0,0,0,0.274935455886574,0,0.040236241920368,4.39100493856325e-05
31,0,0,0,0,0.0567708149612467,0,4.87889437618139e-05,0,0.00177103865855385,0,0,0,0,0,0,3.90311550094511e-05,0,0,0,0,0.0435685267792998,0,0,0,0.927019204840722,0,0.435978001455569,0.000107335676275991
32,0,0,0,0,0.0207987267256613,0,9.26989931474465e-05,0,0.00271266527315685,0,0,0,4.87889437618139e-06,0,0,0,0,0,0,0,0.0459299116573716,0,0,0,0.706502936826075,0,0.0487694281843092,0.000107335676275991
33,0,0,0,0,0.10117851157325,0,4.39100493856325e-05,0,0.00291757883695647,0,0,0,4.87889437618139e-06,0,0,0,0,0,0,0,0.0605275636309064,0,0,0,0.536932083887515,0,0.194667885609638,4.87889437618139e-05
34,0,0,0,0,0.0884445972514163,0,4.87889437618139e-05,0,0.00425439589603018,0,0,0,0,0,0,0,0,0,0,0,0.0620644153594035,0,0,0,0.193565255480621,0,0.0404948233223056,3.41522606332698e-05
35,0,0,0,0,0.116059139420603,0,0,0,0.0043519737835538,0,0,0,4.87889437618139e-05,0,0,0,0,0,0,0,0.0570586697294414,0,0,0,0.106062284843807,0,0.0174615629723532,6.83045212665395e-05
36,0,0,0,0,0.0267656145477311,0,9.75778875236279e-06,0,0.00577661094139877,0,0,0,2.4394471880907e-05,0,0,0,0,0,0,0,0.0720319965699421,0,0,0,0.32266080067438,0,0.0234772397381849,2.92733662570884e-05
37,0,0,0,0,0.0280634004517954,0,0,0,0.00367380746526459,0,0,0,0,0,0,0,0,0,0,0,0.0744080181311424,0,0,0,0.176498882952738,0,0.0158710434057181,2.4394471880907e-05
38,0,0,0,0,0.0230625337162094,0,4.87889437618139e-06,0,0.0035664717889886,0,0,0,1.95155775047256e-05,0,0,0,0,0,0,0,0.0656260082540159,0,0,0,0.165575038444468,0,0.0168858534359638,0.000107335676275991
39,0,0,0,0,0.16448704499858,0,0,0,0.00244432608246688,0,0,0,9.75778875236279e-06,0,0,9.75778875236279e-06,0,0,0,0,0.0633378067915868,0,0,0,0.163965003300328,0,0.0178811478887048,8.78200987712651e-05
40,0,0,0,0,0.20774820143218,0,2.92733662570884e-05,0,0.00199546779985819,0,0,0,3.90311550094511e-05,0,0,4.87889437618139e-06,0,0,0,0,0.0608788440259914,0,0,0,0.14018527211082,0,0.0162662338501888,4.87889437618139e-05
41,0,0,0,0,0.0767840396923428,0,1.95155775047256e-05,0,0.00177591755293003,0,0,0,0,0,0,3.41522606332698e-05,0,0,0,0,0.111072909368146,0,0,0,0.15067489501961,0,0.0156027042150281,4.39100493856325e-05
42,0,0,0,0,0.0394068298764171,0,1.95155775047256e-05,0,0.00211744015926272,0,0,0,0,0,0,9.75778875236279e-06,0,0,0,0,0.0592444144099707,0,0,0,0.189613351035914,0,0.0153099705524572,6.34256268903581e-05
43,0,0,0,0,0.0816434184910194,0,2.4394471880907e-05,0,0.00193204217296783,0,0,0,0,0,0,0,0,0,0,0,0.057800261674621,0,0,0,0.137565305830811,0,0.0141878248459355,0
44,0,0,0,0,0.027785303472353,0,1.46366831285442e-05,0,0.00161979293289222,0,0,0,0,0,0,0,0,0,0,0,0.0583808501053866,0,0,0,0.200585984487946,0,0.0170175835841207,8.29412043950837e-05
45,0,0,0,0,0.0412559308449899,0,0,0,0.002097924581758,0,0,0,0,0,0,4.87889437618139e-06,0,0,0,0,0.0740030698979194,0,0,0,0.345396448467386,0,0.0136267519926746,0.000639135163279763
46,0,0,0,0,0.0796821029517945,0,1.46366831285442e-05,0,0.00200034669423437,0,0,0,0,0,0,4.87889437618139e-06,0,0,0,0,0.0882250470044881,0,0,0,0.250545862900043,0,0.0160320469201321,6.83045212665395e-05
47,0,0,0,0,1.4176652177814,0,2.92733662570884e-05,0,0.00393726776157838,0,0,0,0,0,0,4.39100493856325e-05,0,0,0,0,0.156183166770319,0,0,0,5.06275063185341,0,0.0282048883887046,5.36678381379953e-05
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,26.4194033239029,0,0.000112214570652172,0,0.0270534693159258,0,0,0,3.41522606332698e-05,0,0,8.29412043950837e-05,0,0,0,0,0.88806611214129,0,0,0,46.9851384486297,0,0.189642624402171,0.000678166318289214
